"","Site_ID","Date","Site_Subplot","Type","HoboName","Temp","Min","Max","Median","CV","Range","Subplot","LoggerID","TRT","Age","Day","Heatdome","MeanMin","MeanMax","MeanRange","MeanMean","MeanOffset","MinOffset","MaxOffset","RangeOffset"
"383","C2-17",2021-06-23,"C2-17_S","Soil","20173904.csv",12.0626666666667,10.846,14.134,11.625,9.0189640802162,3.288,"S","20173904","CON",33,23,0,9.94738947368421,23.2675111111111,13.3201216374269,14.1646018812251,2.10193521455847,-0.898610526315789,9.13351111111111,10.0321216374269
"384","C2-17",2021-06-24,"C2-17_E","Soil","20202703.csv",12.8756666666667,11.431,14.804,12.9315,9.69093921921904,3.373,"E","20202703","CON",33,24,1,10.1679192982456,29.6802035087719,19.5122842105263,17.8080380690442,4.9323714023775,-1.26308070175438,14.8762035087719,16.1392842105263
"385","C2-17",2021-06-29,"C2-17_S","Soil","20173904.csv",15.6735833333333,13.942,18.901,15.139,10.1648440980199,4.959,"S","20173904","CON",33,29,0,13.2172070175439,23.5268912280702,10.3096842105263,17.1826659086284,1.50908257529507,-0.72479298245614,4.62589122807018,5.35068421052632
"386","C2-17",2021-06-19,"C2-17_S","Soil","20173904.csv",11.8902916666667,10.259,14.23,12.013,12.1978154399837,3.971,"S","20173904","CON",33,19,0,9.21180365296804,27.7804140350877,18.5686103821197,15.681603212035,3.79131154536837,-1.04719634703196,13.5504140350877,14.5976103821197
"387","C2-17",2021-06-16,"C2-17_E","Air","9784531.csv",13.4130833333333,11.139,16.332,12.9795,15.0769490721172,5.193,"E","9784531","CON",33,16,0,8.45024912280702,25.6821333333333,17.2318842105263,15.620654486065,2.20757115273168,-2.68875087719298,9.35013333333333,12.0388842105263
"388","C2-17",2021-06-20,"C2-17_E","Soil","20202703.csv",14.222625,11.722,16.427,14.517,13.5129770487184,4.705,"E","20202703","CON",33,20,0,10.4408777777778,31.2258333333333,20.7849555555556,20.007376940107,5.78475194010702,-1.28112222222222,14.7988333333333,16.0799555555556
"389","C2-17",2021-06-21,"C2-17_E","Soil","20202703.csv",16.4895833333333,13.654,18.045,16.2845,6.89786276465966,4.391,"E","20202703","CON",33,21,0,11.5289087719298,34.4042807017544,22.8753719298246,22.272137748004,5.78255441467062,-2.12509122807018,16.3592807017544,18.4843719298246
"390","C2-17",2021-06-22,"C2-17_E","Soil","20202703.csv",13.5005416666667,12.11,14.613,13.461,4.8201883557703,2.503,"E","20202703","CON",33,22,0,10.7004361932228,22.6403555555556,11.9399193623328,15.1148028447788,1.61426117811214,-1.40956380677722,8.02735555555556,9.43691936233277
"391","C2-17",2021-06-23,"C2-17_E","Soil","20202703.csv",12.2419166666667,11.431,13.558,11.9645,5.73308917232273,2.127,"E","20202703","CON",33,23,0,9.94738947368421,23.2675111111111,13.3201216374269,14.1646018812251,1.92268521455847,-1.48361052631579,9.70951111111111,11.1931216374269
"392","C2-17",2021-06-27,"C2-17_S","Soil","20173904.csv",28.334125,22.812,33.014,29.053,12.9681355841009,10.202,"S","20173904","CON",33,27,1,21.3097754385965,42.6895964912281,21.3798210526316,31.5614348196881,3.22730981968811,-1.50222456140351,9.67559649122807,11.1778210526316
